Variables="x""dx"
Zone t="         0"
i=  65
  5.332249104422692e-01   4.286863536417562e-02
  5.760935458064448e-01   2.020963865248415e-02
  5.963031844589289e-01   1.414519540567438e-02
  6.104483798646033e-01   1.498867222588762e-02
  6.254370520904909e-01   1.977843262273027e-02
  6.452154847132212e-01   2.639367305025320e-02
  6.716091577634744e-01   3.228572767108351e-02
  7.038948854345579e-01   3.550902924494925e-02
  7.394039146795072e-01   3.576950877814000e-02
  7.751734234576472e-01   3.411879595982015e-02
  8.092922194174673e-01   3.181846633838126e-02
  8.411106857558486e-01   2.972418405085742e-02
  8.708348698067060e-01   2.805292097418932e-02
  8.988877907808953e-01   2.634554946383838e-02
  9.252333402447337e-01   2.432612256268418e-02
  9.495594628074179e-01   2.161600686254528e-02
  9.711754696699632e-01   1.820855215436079e-02
  9.893840218243239e-01   1.037871646591271e-01
  1.093171186483451e+00   1.164593671064564e-01
  1.209630553589908e+00   8.693514964241711e-02
  1.296565703232325e+00   3.463083622525702e-01
  1.642874065484895e+00   2.598508111623494e-01
  1.902724876647244e+00   9.103134489365750e-02
  1.993756221540902e+00   1.510455475917105e-04
  1.993907267088493e+00   2.449545768733019e-03
  1.996356812857226e+00   3.643187142773563e-03
  2.000000000000000e+00   0.000000000000000e+00
Zone t="       106"
i=  65
 -2.000000000000000e+00   2.725267721705342e-01
 -1.727473227829466e+00   2.557734501524840e-01
 -1.471699777676982e+00   2.224928171456599e-01
 -1.249206960531322e+00   1.627001431974076e-01
 -1.086506817333914e+00   9.765704574213696e-02
 -9.888497715917773e-01   1.941986970625587e-02
 -9.694299018855215e-01   2.367801699144734e-02
 -9.457518848940741e-01   2.700044477966335e-02
 -9.187514401144108e-01   2.938608142016963e-02
 -8.893653586942412e-01   3.127648972449815e-02
 -8.580888689697430e-01   3.253556859579510e-02
 -8.255533003739479e-01   3.334023669123765e-02
 -7.922130636827103e-01   3.373608086521840e-02
 -7.584769828174919e-01   3.380428734959973e-02
 -7.246726954678922e-01   3.359974287518941e-02
 -6.910729525927027e-01   3.332216654910203e-02
 -6.577507860436007e-01   3.308738463848526e-02
 -6.246634014051155e-01   3.293297343646229e-02
 -5.917304279686532e-01   3.277418755641826e-02
 -5.589562404122349e-01   3.234385252806538e-02
 -5.266123878841695e-01   3.130304151461738e-02
 -4.953093463695522e-01   2.937568664471624e-02
 -4.659336597248359e-01   2.663532815238645e-02
 -4.392983315724495e-01   2.366952257952271e-02
 -4.156288089929268e-01   2.157857484216552e-02
 -3.940502341507612e-01   2.186842162394620e-02
 -3.721818125268150e-01   2.675834203772409e-02
 -3.454234704890909e-01   3.983089758656289e-02
 -3.055925729025281e-01   6.359577225146451e-02
 -2.419968006510636e-01   8.743036439986929e-02
 -1.545664362511943e-01   8.586736178603249e-02
 -6.869907446516177e-02   5.425171560501385e-02
 -1.444735886014792e-02   1.570789044276455e-02
  1.260531582616631e-03   1.989562113327326e-02
  2.115615271588989e-02   8.523742797821199e-02
  1.063935806941019e-01   1.608796920273670e-01
  2.672732727214688e-01   1.683139596431076e-01
  4.355872323645764e-01   1.000076629325849e-01
  5.355948952971613e-01   4.312004300793126e-02
  5.787149383050926e-01   2.047058557272041e-02
  5.991855238778130e-01   1.449574079026994e-02
  6.136812646680829e-01   1.544812739252066e-02
  6.291293920606036e-01   2.031799834119674e-02
  6.494473904018003e-01   2.698011035047621e-02
  6.764275007522765e-01   3.275045379761388e-02
  7.091779545498904e-01   3.563038560677534e-02
  7.448083401566658e-01   3.540239409426882e-02
  7.802107342509346e-01   3.333221151221522e-02
  8.135429457631498e-01   3.092048927556668e-02
  8.444634350387165e-01   2.891611424251928e-02
  8.733795492812357e-01   2.738750168181359e-02
  9.007670509630493e-01   2.596060984230719e-02
  9.267276608053565e-01   2.410309869471494e-02
  9.508307595000715e-01   2.143596122036451e-02
  9.722667207204360e-01   1.765852891799147e-02
  9.899252496384274e-01   1.041863059923605e-01
  1.094111555630788e+00   1.171326184311468e-01
  1.211244174061935e+00   8.741721893751220e-02
  1.298661392999447e+00   3.494003924531717e-01
  1.648061785452619e+00   2.594711103322231e-01
  1.907532895784842e+00   8.924729050374070e-02
  1.996780186288582e+00   4.601366427747777e-05
  1.996826199952860e+00   1.479698515185923e-03
  1.998305898468046e+00   1.694101531954262e-03
  2.000000000000000e+00   0.000000000000000e+00
Zone t="       107"
i=  65
 -2.000000000000000e+00   2.725405687524216e-01
 -1.727459431247578e+00   2.557523726262656e-01
 -1.471707058621313e+00   2.224382671583880e-01
 -1.249268791462925e+00   1.624732609371522e-01
 -1.086795530525773e+00   9.739110957447827e-02
 -9.894044209512943e-01   1.913271118464788e-02
 -9.702717097666465e-01   2.324708404416775e-02
 -9.470246257224787e-01   2.664508382716624e-02
 -9.203795418953125e-01   2.918768411464634e-02
 -8.911918577806661e-01   3.098873936887681e-02
 -8.602031184117893e-01   3.227992214583653e-02
 -8.279231962659528e-01   3.310636497797548e-02
 -7.948168312879773e-01   3.357684363904634e-02
 -7.612399876489310e-01   3.368193811402220e-02
 -7.275580495349088e-01   3.354900472334499e-02
 -6.940090448115638e-01   3.334716740814059e-02
 -6.606618774034232e-01   3.318145634652081e-02
 -6.274804210569024e-01   3.306233721689056e-02
